[  285200ms] [LOG] entities 37  frames 34163  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  287208ms] [LOG] entities 37  frames 34404  window 240  mean 0.23ms  p95 0.32ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  289208ms] [LOG] entities 37  frames 34644  window 240  mean 0.21ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  291217ms] [LOG] entities 37  frames 34885  window 240  mean 0.23ms  p95 0.34ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  293217ms] [LOG] entities 37  frames 35125  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  295225ms] [LOG] entities 37  frames 35366  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  297233ms] [LOG] entities 37  frames 35607  window 240  mean 0.23ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  299242ms] [LOG] entities 37  frames 35848  window 240  mean 0.20ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  301242ms] [LOG] entities 37  frames 36088  window 240  mean 0.20ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  303250ms] [LOG] entities 37  frames 36329  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  305250ms] [LOG] entities 37  frames 36569  window 240  mean 0.22ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  307258ms] [LOG] entities 37  frames 36810  window 240  mean 0.23ms  p95 0.31ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  309258ms] [LOG] entities 37  frames 37050  window 240  mean 0.21ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  311267ms] [LOG] entities 37  frames 37291  window 240  mean 0.20ms  p95 0.26ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  313275ms] [LOG] entities 37  frames 37532  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  315283ms] [LOG] entities 37  frames 37773  window 240  mean 0.20ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  317283ms] [LOG] entities 37  frames 38013  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  319291ms] [LOG] entities 37  frames 38254  window 240  mean 0.21ms  p95 0.27ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  321292ms] [LOG] entities 37  frames 38494  window 240  mean 0.22ms  p95 0.29ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
[  323291ms] [LOG] entities 37  frames 38734  window 240  mean 0.21ms  p95 0.30ms @ http://localhost:5173/src/main.ts?t=1785576406404:320
